Date,AAPL,MSFT,NVDA,JPM,XOM,KO,JNJ,WMT,DIS,SPY
2021-11-01,145.4166,316.7005,25.7425,150.7355,55.4351,48.8127,142.474,47.0152,165.01,431.3451
2021-11-02,146.4514,320.3158,26.3146,151.3302,54.7509,48.7519,144.7201,46.9932,164.6609,433.089
2021-11-03,147.8864,321.1524,26.511,151.3835,53.9992,48.917,144.2569,47.1376,164.9033,435.7331
2021-11-04,147.369,323.4985,29.7035,149.395,54.4046,49.1864,143.8549,47.4829,165.0972,437.7865
2021-11-05,147.8969,323.1331,29.6547,149.182,54.9199,49.395,142.8323,47.1533,170.2844,439.3055
2021-11-08,147.0757,324.0273,30.7032,150.0786,55.5111,48.9518,142.3429,46.852,171.4866,439.6805
2021-11-09,147.4374,323.0273,30.5567,148.9423,56.0517,49.0908,142.0283,47.0152,169.7802,438.2271
2021-11-10,144.612,318.0754,29.3626,148.8002,54.9475,49.2907,143.5665,46.5915,169.1403,434.7017
2021-11-11,144.5632,319.6427,30.2906,148.7914,55.0502,49.3081,142.509,46.6103,157.1759,434.8423
2021-11-12,146.6358,323.7678,30.2906,148.1256,54.6307,49.1951,144.2132,46.378,154.7714,438.124
2021-11-15,146.6456,323.1428,29.9268,147.8593,55.1016,49.2038,142.911,46.1112,153.6079,438.274
2021-11-16,147.6232,326.4504,30.1042,146.794,55.658,48.8562,142.1681,44.9374,153.9957,440.0086
2021-11-17,150.0575,326.672,29.1653,146.0039,55.0502,48.5868,142.7012,44.5513,152.5414,438.9398
2021-11-18,154.3396,328.743,31.5714,144.7433,54.451,48.1523,141.9321,44.9342,150.8447,440.4306
2021-11-19,156.9597,330.5155,32.8771,142.8525,51.9343,47.909,142.3604,44.6925,149.3127,439.643
2021-11-22,157.4191,327.3559,31.8515,145.8974,52.6534,48.2044,140.4866,45.4427,149.4679,438.4053
2021-11-23,157.8004,325.2848,31.6422,149.3861,54.0401,48.5607,141.3575,45.766,146.4331,438.9866
2021-11-24,158.3186,325.5064,32.5671,148.2143,54.3397,48.1697,140.9617,45.9951,146.7337,440.1587
2021-11-26,153.3032,317.5785,31.3999,143.7491,52.4308,46.6923,140.0468,45.4803,143.602,430.3417
2021-11-29,156.6565,324.2733,33.2668,143.1277,52.7218,47.431,140.5306,44.7679,143.3111,435.6205
2021-11-30,161.6034,318.4551,32.5691,140.9971,51.2238,45.9334,137.1702,44.1401,140.4897,427.1445
2021-12-01,161.0853,317.9638,31.336,140.1627,51.181,45.8021,139.0615,43.0447,137.8234,422.4001
2021-12-02,160.0978,317.3954,32.0248,143.1099,52.4565,46.4764,138.1906,42.5205,142.7197,428.8696
2021-12-03,158.2208,311.1533,30.5963,140.5178,52.1226,46.888,140.2051,43.1608,141.7695,425.1379
2021-12-06,161.623,314.2166,29.9424,142.1778,52.7133,48.0878,143.3369,43.6285,145.7932,430.173
2021-12-07,167.3519,322.6261,32.3249,144.3172,53.3039,48.3505,143.7063,43.4873,146.2198,439.0711
2021-12-08,171.1647,322.6743,31.7258,142.6661,53.458,48.1666,144.5685,43.0478,148.6728,440.2336
2021-12-09,170.6563,320.873,30.394,142.4441,53.595,48.044,145.9407,43.6466,148.285,437.2615
2021-12-10,175.437,329.9665,30.1029,141.876,53.9374,49.2876,145.5801,44.4439,148.062,441.3777
2021-12-13,171.8099,326.9417,28.0723,140.1893,52.7561,50.5837,148.1839,45.2443,145.8514,437.4677
2021-12-14,170.4315,316.2876,28.2478,141.2635,52.679,50.6187,149.8026,45.6761,144.5619,434.4579
2021-12-15,175.2903,322.3661,30.3631,140.2071,52.4479,50.8464,150.5503,45.9376,145.8223,441.2464
2021-12-16,168.4078,312.974,28.2976,142.3997,52.5335,51.3631,152.1953,45.1719,144.2225,437.3552
2021-12-17,167.3128,311.9143,27.7134,139.1596,51.3864,50.5574,147.9904,43.7254,144.2322,432.7005
2021-12-20,165.9539,308.1671,27.6317,136.6562,50.6417,50.391,147.5682,43.8672,142.0119,428.0994
2021-12-21,169.1215,315.2762,28.9834,138.5648,51.7888,50.5925,147.0931,43.9995,146.4525,435.702
2021-12-22,171.7122,320.9693,29.3074,139.1063,52.2082,50.9515,147.7265,44.0563,147.2572,440.0584
2021-12-23,172.3379,322.4045,29.5467,139.6034,52.2339,50.9866,148.008,43.9586,148.954,442.7965
2021-12-27,176.2973,329.8798,30.8475,140.4023,52.9786,51.3631,149.2572,44.3588,148.1492,449.0631
2021-12-28,175.2805,328.7238,30.2265,140.8285,52.8074,51.5646,149.8554,44.9954,150.4762,448.6961
2021-12-29,175.3685,329.398,29.9065,140.7575,52.3452,51.6259,150.911,44.9733,150.1562,449.2701
2021-12-30,174.215,326.8646,29.4928,140.6864,52.037,51.477,151.5795,45.1183,151.184,448.028
2021-12-31,173.599,323.9747,29.3184,140.571,52.3794,51.8536,150.4887,45.5973,150.1756,446.8989
2022-01-03,177.9397,322.4623,30.0261,143.5449,54.3911,51.9324,150.9022,45.5847,151.9887,449.4865
2022-01-04,175.6814,316.9331,29.1978,148.9867,56.4369,52.7994,150.4975,44.7496,150.9901,449.3359
2022-01-05,171.0083,304.7667,27.5171,146.2628,57.1389,53.2373,151.5004,45.3546,150.4665,440.7076
2022-01-06,168.1536,302.3584,28.0893,147.8168,58.4828,52.957,150.9814,45.2286,152.1245,440.2936
2022-01-07,168.3198,302.5125,27.1612,149.2814,58.9622,52.8344,153.0223,45.6603,153.0262,438.553
2022-01-10,168.3393,302.7341,27.3137,149.4243,58.6112,52.922,152.2657,45.5721,151.8336,438.0072
2022-01-11,171.1647,303.4181,27.7294,149.5761,61.0765,52.9395,150.647,45.4429,153.0843,441.9968
2022-01-12,171.6047,306.5873,27.9108,150.4245,60.8968,53.0183,149.3627,45.2034,152.9971,443.1916
2022-01-13,168.3393,293.6118,26.4913,150.237,60.4602,53.3336,148.4566,45.8431,150.7089,437.0851
2022-01-14,169.1996,298.8136,26.8572,141.0028,61.5217,53.7627,147.6473,45.7139,147.3154,437.2639
2022-01-18,166.0028,291.5407,25.8214,135.0909,62.5575,53.3336,146.9964,44.9134,147.6354,429.5201
2022-01-19,162.5126,292.1957,24.9881,133.0012,62.5831,53.4212,146.5389,45.3609,145.5411,425.0602
2022-01-20,160.831,290.5293,24.0739,131.867,62.7201,53.2022,145.369,44.5038,143.1269,420.3555
2022-01-21,158.778,285.1636,23.3004,129.563,61.7785,52.9395,145.0347,44.1792,133.1986,412.1038
2022-01-24,158.0057,285.4912,23.2984,129.4468,62.3092,52.5104,143.3632,44.1823,133.2762,413.8539
2022-01-25,156.2068,277.9005,22.2537,130.8578,64.1411,52.3878,147.4626,43.2211,132.3551,408.8011
2022-01-26,156.1189,285.8187,22.7003,132.0992,63.4905,52.1951,148.1224,42.78,129.5336,407.7756
2022-01-27,155.6594,288.8337,21.8749,129.7683,64.3037,52.2389,150.0665,42.8083,131.2982,405.7619
2022-01-28,166.5209,296.9447,22.7681,130.9293,64.4407,53.281,151.1221,43.3378,134.4106,415.8392
2022-01-31,170.8714,299.5649,24.4089,132.7065,65.0227,53.4299,151.562,44.0594,138.6184,423.3289
2022-02-01,170.7052,297.4265,24.5604,134.9837,69.1915,53.0358,150.3216,44.4061,140.0922,426.1894
2022-02-02,171.9077,301.9539,25.1625,133.9031,69.0118,53.5788,151.9842,44.3872,138.2791,430.3293
2022-02-03,169.0334,290.1921,23.8726,132.7958,68.2071,53.9554,151.9754,44.4313,135.7679,420.2144
2022-02-04,168.7496,294.7099,24.2424,136.2429,69.688,53.3861,150.9814,43.9081,137.6974,422.1903
2022-02-07,168.035,289.9031,24.6501,136.6984,70.5269,53.9466,150.4799,43.4764,138.1725,420.8355
2022-02-08,171.138,293.3805,25.0289,139.2704,68.7036,54.2969,150.8758,43.4859,138.1434,424.298
2022-02-09,172.5574,299.7864,26.6209,139.8508,68.3747,53.4562,150.8582,43.3913,142.7488,430.5082
2022-02-10,168.4853,291.2805,25.7427,139.2704,67.7169,53.7539,149.0373,42.884,147.5287,422.7738
2022-02-11,165.0788,284.21,23.8736,137.4574,69.422,52.7994,147.5329,42.6476,144.9206,414.4372
2022-02-14,165.3137,284.1714,24.1906,136.1804,68.3574,53.1409,145.6768,42.2127,146.2586,413.0823
2022-02-15,169.1411,289.4407,26.4116,138.1719,67.5005,53.3423,147.1811,42.3451,150.0108,419.744
2022-02-16,168.9062,289.1029,26.4275,138.422,67.8121,53.3336,147.0931,42.0804,151.5912,420.2144
2022-02-17,165.3137,280.6373,24.4298,135.2338,67.7083,54.402,146.1958,43.7663,148.2947,411.238
2022-02-18,163.767,277.9345,23.5675,135.8679,66.9553,54.7698,144.6288,43.4859,146.7531,408.5753
2022-02-22,160.85,277.7318,23.3163,135.6267,66.1763,54.5421,142.6633,43.0006,143.5826,404.1907
2022-02-23,156.6898,270.5404,22.3165,132.7868,66.4446,53.9379,142.7342,42.5594,141.4302,397.0208
2022-02-24,159.3034,284.3632,23.6732,129.0897,65.6051,52.992,140.0073,42.3955,144.8527,402.9956
2022-02-25,161.3688,286.9889,24.0809,132.1438,67.3707,55.0413,146.9661,42.9785,144.9788,411.8873
2022-02-28,161.6331,288.4175,24.3082,126.6337,67.8727,54.5071,145.7001,42.594,143.9414,410.8335
2022-03-01,159.7536,284.7108,23.4031,121.856,68.5218,54.2706,145.1954,42.8556,141.2654,404.5764
2022-03-02,163.0427,289.7689,24.1478,124.3833,69.6989,54.6735,147.0015,42.9092,142.8554,412.0191
2022-03-03,162.7197,285.6472,23.6433,123.4992,70.1403,54.7085,149.1617,43.8955,141.1393,409.9678
2022-03-04,159.7243,279.7975,22.8677,120.0252,72.7801,54.7961,150.0471,45.008,136.4369,406.637
2022-03-07,155.936,269.2276,21.2884,115.3903,75.4026,53.4912,152.464,44.6456,129.4367,394.6497
2022-03-08,154.1153,266.2738,21.4499,114.5776,75.9738,51.3719,149.3742,43.7222,127.74,391.6575
2022-03-09,159.5089,278.4846,22.9454,119.1679,71.655,51.6346,149.9408,43.9491,129.5821,402.1582
2022-03-10,155.1725,275.6757,22.5905,117.7569,73.8793,50.6888,150.2064,44.9481,129.5724,400.3422
2022-03-11,151.4625,270.3473,22.0342,115.1046,73.4985,50.7238,149.932,44.7716,127.74,395.2519
2022-03-14,147.4393,266.8434,21.2665,116.2476,70.8674,51.6592,152.0036,45.3956,125.1027,392.3633
